cust_id,month,total_calories,protein,carbs,vitamins
CU1,January,3450,15,1.8,"Vitamin A, Vitamin C, Calcium, Iron"
CU2,February,4980,25,2.1,"Vitamin B12, Vitamin D, Magnesium, Potassium"
CU3,March,5200,30,2.3,"Vitamin E, Vitamin K, Zinc, Folic Acid"
CU4,April,6100,35,2.7,"Vitamin C, Vitamin D, Iron, Zinc"
CU5,May,4780,20,1.9,"Vitamin A, Vitamin B6, Calcium, Magnesium"
CU6,June,5900,40,2.8,"Vitamin D, Vitamin E, Zinc, Selenium"
CU7,July,4650,22,2,"Vitamin B12, Vitamin C, Iron, Potassium"
CU8,August,5120,28,2.2,"Vitamin K, Vitamin D, Magnesium, Zinc"
CU9,September,6000,32,2.5,"Vitamin A, Vitamin E, Calcium, Folic Acid"
CU10,October,4820,21,2.1,"Vitamin C, Vitamin B6, Iron, Selenium"
CU11,November,5200,33,2.6,"Vitamin D, Vitamin B12, Zinc, Magnesium"
CU12,December,5400,27,2.3,"Vitamin A, Vitamin C, Potassium, Folic Acid"
CU13,January,5750,38,2.9,"Vitamin E, Vitamin K, Iron, Zinc"
CU14,February,4600,18,2,"Vitamin B6, Vitamin D, Magnesium, Calcium"
CU4,March,5100,25,2.1,"Vitamin C, Vitamin B12, Zinc, Potassium"
CU16,April,4950,29,2.2,"Vitamin A, Vitamin E, Calcium, Folic Acid"
CU17,May,5800,34,2.7,"Vitamin D, Vitamin K, Iron, Magnesium"
CU18,June,4700,20,1.8,"Vitamin C, Vitamin B6, Zinc, Selenium"
CU19,July,5300,24,2.3,"Vitamin A, Vitamin D, Calcium, Potassium"
CU36,August,5500,31,2.5,"Vitamin E, Vitamin B12, Iron, Zinc"
CU1,September,5150,26,2.2,"Vitamin C, Vitamin K, Magnesium, Folic Acid"
CU2,October,4900,28,2,"Vitamin D, Vitamin A, Zinc, Potassium"
CU3,November,5700,35,2.8,"Vitamin B6, Vitamin C, Iron, Calcium"
CU4,December,4600,21,1.9,"Vitamin E, Vitamin D, Magnesium, Selenium"
CU5,January,5050,27,2.3,"Vitamin K, Vitamin B12, Zinc, Potassium"
CU6,February,5400,32,2.6,"Vitamin C, Vitamin D, Iron, Magnesium"
CU7,March,6000,38,2.9,"Vitamin A, Vitamin E, Calcium, Folic Acid"
CU8,April,4800,24,2.1,"Vitamin B6, Vitamin C, Zinc, Potassium"
CU9,May,5650,30,2.5,"Vitamin D, Vitamin K, Iron, Calcium"
CU10,June,4550,19,1.8,"Vitamin A, Vitamin B12, Magnesium, Selenium"
CU11,July,5150,29,2.4,"Vitamin C, Vitamin E, Zinc, Folic Acid"
CU12,August,5300,33,2.6,"Vitamin D, Vitamin B6, Iron, Potassium"
CU13,September,4950,22,2.1,"Vitamin A, Vitamin C, Calcium, Magnesium"
CU14,October,5750,37,2.8,"Vitamin E, Vitamin K, Zinc, Selenium"
CU4,November,4700,20,2,"Vitamin B12, Vitamin D, Iron, Potassium"
CU16,December,5500,28,2.3,"Vitamin C, Vitamin B6, Magnesium, Calcium"
CU17,January,6000,34,2.7,"Vitamin A, Vitamin E, Zinc, Folic Acid"
CU18,February,4800,23,2,"Vitamin D, Vitamin K, Iron, Magnesium"
CU19,March,5250,26,2.2,"Vitamin C, Vitamin B12, Calcium, Selenium"
CU36,April,4600,18,1.9,"Vitamin A, Vitamin D, Zinc, Potassium"
CU1,May,5400,31,2.5,"Vitamin E, Vitamin C, Iron, Folic Acid"
CU2,June,4950,24,2.1,"Vitamin B6, Vitamin D, Magnesium, Calcium"
CU3,July,5700,36,2.9,"Vitamin A, Vitamin K, Zinc, Selenium"
CU4,August,4800,22,2,"Vitamin C, Vitamin B12, Iron, Potassium"